    ,nome                                     ,qtde   ,unidade ,vl_unit ,vl_total ,conta_despesa                                       ,data_transacao
 64 ,GENGIBRE KG                              , 0.09  ,KG      , 10.99  ,    0.98 ,SUPERMERCADOS FESTVAL                               ,26/03/2022 08:49:51
 65 ,D. CHURROS                               , 1.0   ,UND     , 12.0   ,   12.0  ,DOFFEE LANCHONETE LTDA                              ,10/03/2022 18:44:05
 66 ,GASOLINA ORIGINAL IPIRANGA Bico 18       ,41.942 ,L       ,  6.3   ,  264.23 ,AUTO POSTO ORTONA LTDA                              ,28/02/2022 16:21:10
 67 ,HIPER SANITIZANTE AUTOMOTIVO ASSEP 100ML , 1.0   ,UN      , 19.8   ,   19.8  ,AUTO POSTO ORTONA LTDA                              ,28/02/2022 16:21:10
 68 ,ETANOL COMUM                             ,17.575 ,l       ,  5.69  ,  100.0  ,POSTO FAROL DO PARQUE                               ,25/03/2022 06:27:57
 69 ,BANANA CATURRA KG                        , 3.18  ,KG      ,  2.98  ,    9.48 ,SUPERMERCADO JACOMAR LTDA                           ,23/03/2022 12:42:15
 70 ,MINI CHURROS DOCE DE LEITE KG            , 0.152 ,KG      , 31.99  ,    4.86 ,SUPERMERCADO JACOMAR LTDA                           ,23/03/2022 12:42:15
 71 ,MINI COXINHA DE FRANGO KG                , 0.088 ,KG      , 31.99  ,    2.82 ,SUPERMERCADO JACOMAR LTDA                           ,23/03/2022 12:42:15
 72 ,REFRIG.COCA COLA LATA 350ML              , 1.0   ,LT      ,  2.99  ,    2.99 ,SUPERMERCADO JACOMAR LTDA                           ,23/03/2022 12:42:15
 73 ,CREME LEITE PIRACANJUBA TP 200G          , 1.0   ,UN      ,  3.68  ,    3.68 ,SUPERMERCADO JACOMAR LTDA                           ,23/03/2022 12:42:15
 74 ,SANDUICHE SALAME JACOMAR KG              , 0.208 ,KG      , 30.98  ,    6.44 ,SUPERMERCADO JACOMAR LTDA                           ,23/03/2022 12:42:15
 75 ,AGUA TONICA ANTARCTICA LT 350ML          , 1.0   ,UN      ,  2.79  ,    2.79 ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
 76 ,AGUA TONICA ANTARCTICA LT 350ML          , 1.0   ,UN      ,  2.79  ,    2.79 ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
 77 ,CERVEJA COLORADO APPIA GFA 600ML         , 1.0   ,UN      , 12.5   ,   12.5  ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
 78 ,CERVEJA COLORADO RIBEIRAO LAGER 600ML    , 1.0   ,UN      , 12.5   ,   12.5  ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
 79 ,AGUA TONICA ANTARCTICA LT 350ML          , 1.0   ,UN      ,  2.79  ,    2.79 ,A. ANGELONI CIA LTDA                                ,28/02/2022 13:41:10
